X,Y,施設名,施設名かな,施設名（施設名かな）,所在地,地区名,詳細情報,カテゴリ,アイコン番号,施設ID
135.4681853,34.71578444,塚本公園　公衆トイレ,つかもとこうえん　こうしゅうといれ,塚本公園　公衆トイレ（つかもとこうえん　こうしゅうといれ）,,淀川区,,公衆トイレ/車いす対応公衆便所,209,29595
135.4782118,34.71705597,十三公園　公衆トイレ１,じゅうそうこうえん　こうしゅうといれ１,十三公園　公衆トイレ１（じゅうそうこうえん　こうしゅうといれ１）,,淀川区,,公衆トイレ/車いす対応公衆便所,209,29593
135.4826908,34.72638133,野中南公園　公衆トイレ,のなかみなみこうえん　こうしゅうといれ,野中南公園　公衆トイレ（のなかみなみこうえん　こうしゅうといれ）,,淀川区,,公衆トイレ/車いす対応公衆便所,209,29602
135.4595169,34.72833378,加島中央公園　公衆トイレ,かしまちゅうおうこうえん　こうしゅうといれ,加島中央公園　公衆トイレ（かしまちゅうおうこうえん　こうしゅうといれ）,,淀川区,,公衆トイレ/車いす対応公衆便所,209,29600
135.4780184,34.73553475,新高中央公園　公衆トイレ,にいたかちゅうおうこうえん　こうしゅうといれ,新高中央公園　公衆トイレ（にいたかちゅうおうこうえん　こうしゅうといれ）,,淀川区,,公衆トイレ/車いす対応公衆便所,209,29604
135.5087725,34.70473681,扇町公園　公衆トイレ１,おうぎまちこうえん　こうしゅうといれ１,扇町公園　公衆トイレ１（おうぎまちこうえん　こうしゅうといれ１）,,北区,,公衆トイレ/車いす対応公衆便所,209,29413
135.4981598,34.71136756,豊崎西公園　公衆トイレ,とよさきにしこうえん　こうしゅうといれ,豊崎西公園　公衆トイレ（とよさきにしこうえん　こうしゅうといれ）,,北区,,公衆トイレ/車いす対応公衆便所,209,29479
135.5114425,34.71056561,天六,てんろく,天六（てんろく）,,北区,便器数　　男性用　洋：１　和：１　小：２　　女性用　洋：１　和：１　　車椅子対応：１,公衆トイレ/車いす対応公衆便所,209,29416
135.5147721,34.7014135,与力町公園　公衆トイレ,よりきちょうこうえん　こうしゅうといれ,与力町公園　公衆トイレ（よりきちょうこうえん　こうしゅうといれ）,,北区,,公衆トイレ/車いす対応公衆便所,209,29483
135.5230853,34.70062992,毛馬桜之宮公園　公衆トイレ３,けまさくらのみやこうえん　こうしゅうといれ３,毛馬桜之宮公園　公衆トイレ３（けまさくらのみやこうえん　こうしゅうといれ３）,,都島区,,公衆トイレ/車いす対応公衆便所,209,29338
